STA_SEQ,SAMPLE,SAMPLE_YEAR,SAMPLE_METHOD,METRIC,METRIC_VALUE,DATA_USE_FLAG,COMMENT_BUG,COMMENT_FISH
15796,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 0.91,
15796,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
14720,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
14720,BUG,2016,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.5,
15015,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
18413,BUG,2016,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.67,
14727,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
16276,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
19024,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14866,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
16885,BUG,2015,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.64,
15176,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 0.84,
17816,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
17295,BUG,2015,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.62,
16128,BUG,2015,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.61,
14199,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
15386,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
18932,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
17565,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14863,BUG,2015,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.6,
17852,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
15008,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
15051,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
16944,BUG,2015,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.67,
15719,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 0.91,
16928,BUG,2015,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.61,
14278,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
17568,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
19021,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
16110,BUG,2015,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.58,
16110,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 0.76,
16112,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
16225,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
16221,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
15837,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.98,
16239,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
16258,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
18159,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
16114,BUG,2015,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.5,
16114,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14842,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 0.83,
14442,BUG,2015,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.5,
14442,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.78,
15240,BUG,2015,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.5,
15240,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
17271,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
16370,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.88,
16370,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.98,
15169,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 0.88,
17398,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
15499,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
15499,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.81,
15703,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
16502,BUG,2016,KickNet2M2,BUG_BCG,2,0,BCG Mem = 0.75,
19016,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14470,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
14470,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 0.82,
15413,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
16202,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14441,BUG,2015,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.5,
14441,BUG,2016,KickNet2M2,BUG_BCG,2,0,BCG Mem = 0.8,
16119,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
16119,BUG,2016,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.43,
16603,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
16440,BUG,2015,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.5,
18867,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
15689,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
16860,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
17990,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
18871,BUG,2016,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.72,
16122,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
15315,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
15315,BUG,2016,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.73,
15312,BUG,2015,KickNet2M2,BUG_BCG,5,1,BCG Mem = 0.65,
15312,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
17061,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
19025,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
16131,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
15901,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.86,
