STA_SEQ,Station_Name,YLat,XLong
17248,A2,40.800833,-73.787333
17249,A4,40.8725,-73.734167
17216,38,40.8793,-73.7188
17250,B3,40.918333,-73.642833
17256,15,40.931333,-73.221167
17218,2,40.934667,-73.600667
17220,4,40.937833,-73.519333
17223,7,40.950333,-73.425333
17225,10,40.951667,-73.3325
17251,C1,40.955833,-73.580333
17222,6,40.961167,-73.476667
17217,1,40.963333,-73.623667
17219,3,40.979333,-73.560667
17236,25,40.981,-72.918167
17252,C2,40.984333,-73.502167
17228,14,40.9915,-73.218833
17253,D3,40.993833,-73.411333
17232,20,40.994,-73.042333
14645,Long Island Sound,41.0004,-73.5661
14644,Long Island Sound,41.0006,-73.5698
14643,Captain Harbor/LIS,41.0017,-73.5918
17244,33,41.003833,-72.651167
17242,31,41.004167,-72.768333
14647,Greenwich Harbor/LIS,41.0092,-73.6232
17221,5,41.009333,-73.513667
14648,Long Island Sound,41.0107,-73.5348
20143,LIS Trawl 00-22,41.012,-72.83857
20566,New City Brook,41.012496,-72.227206
14642,Greenwich Cove/LIS,41.0128,-73.5766
14646,Stamford Harbor/LIS,41.0143,-73.5366
17258,F3,41.017833,-73.1445
17255,E1,41.019333,-73.291333
16145,Horseneck Brook,41.022,-73.6328
14651,Stamford Harbor,41.0226,-73.5366
14834,Long Island Sound,41.0245,-73.3886
17261,H6,41.026,-72.9135
19026,Horseneck Brook,41.027382,-73.633868
16002,Pemberwick Brook,41.0274,-73.661
14150,Byram River,41.0276,-73.6621
18939,Horseneck Brook,41.030432,-73.640064
16753,Horseneck Brook,41.0319,-73.6417
16910,No Name (Binney Park),41.0325,-73.5719
14650,Long Island Sound,41.0355,-73.4864
15829,Stamford Hurricane Barrier,41.0369,-73.5347
14649,Cove Harbor,41.0406,-73.4955
17224,8,41.040833,-73.418
15233,"Greenwich Creek, tributary to",41.0414,-73.6147
18938,Byram River,41.046332,-73.662624
15389,Byram River,41.0464,-73.6625
16707,Greenwich Creek,41.0467,-73.6119
20138,LIS Trawl 03-28,41.0486,-72.64445
19342,Mianus Pond,41.05,-73.586
18494,Rippowam River (Mill River),41.053907,-73.545591
17231,19,41.055333,-73.080833
17227,13,41.058333,-73.234333
15110,Rippowam River,41.0604,-73.5464
17768,Byram River,41.060895,-73.677529
16146,East Branch Byram River,41.0612,-73.6748
20140,LIS Trawl 01-28,41.06203,-72.49875
19546,Noroton River,41.06349,-73.508834
19495,Mianus River,41.064169,-73.579285
16621,East Branch Byram River,41.0656,-73.6733
14432,Rippowam River,41.0661,-73.5484
19597,Rippowam River,41.066111,-73.54927
19699,Rippowam River,41.066398,-73.55384
20049,Byram River,41.0704,-73.6857
17254,9,41.070833,-73.336167
17720,Fivemile River,41.073114,-73.447589
14356,Noroton River,41.0753,-73.5155
18896,Converse Pond Brook,41.075327,-73.669271
20139,LIS Trawl 04-30,41.07608,-72.54045
16698,Goodwives River,41.0761,-73.4669
17239,28,41.078167,-72.8335
20645,East Branch Converse Pond Brook,41.079014,-73.676938
17257,F2,41.080333,-73.165333
14293,Mianus River,41.0806,-73.5812
16586,Converse Pond Brook,41.0819,-73.6656
17234,22,41.082333,-73.022833
17310,Horseneck Brook,41.0831,-73.6403
17083,Stony Brook,41.0839,-73.4878
18940,Rockwood Lake Brook,41.085105,-73.623437
18944,Cummings Brook,41.08594,-73.476216
18967,"Byram River, Unnamed Tributary to (Sutton's Brook"")""",41.086034,-73.70111
17308,Aquarion  DSN 101,41.0871,-73.6379
17309,Aquarion Putnum lake,41.0876,-73.6377
16662,Fivemile River,41.0878,-73.4522
17719,Fivemile River,41.088136,-73.450741
17012,Rockwood Lake outflow; downstream of Rte 15,41.0886,-73.6272
14358,Noroton River,41.0898,-73.5152
19355,Putnam Lake,41.09,-73.639
17718,Keelers Brook,41.090777,-73.440977
15111,Rippowam River,41.0919,-73.5597
16788,Keeler Brook,41.092,-73.4397
14292,Mianus River,41.0934,-73.5857
14149,Byram River,41.094506,-73.704449
14357,Noroton River,41.0954,-73.5143
17246,J4,41.0975,-72.45
14851,East Branch Byram River,41.0983,-73.6817
18142,Keeler Brook,41.09926,-73.442385
15239,East Branch Byram River,41.0995,-73.6832
16275,Converse Pond Brook,41.1001,-73.655
17717,Fivemile River,41.100452,-73.454333
17260,H4,41.101667,-72.934
19073,Saugatuck Harbor 02,41.101733,-73.373833
17723,Keeler Brook,41.103188,-73.441438
20527,"Horseneck Brook, Unnamed tributary to",41.104078,-73.633311
14291,Mianus River,41.1043,-73.5865
17724,Keeler Brook,41.104985,-73.44137
18971,Converse Pond Brook,41.10526,-73.653078
16587,Converse Pond Brook,41.1056,-73.6511
17725,Keeler Brook,41.106103,-73.440386
17726,Keeler Brook,41.107174,-73.441357
17727,"Keeler Brook, pond to",41.107616,-73.439205
19358,Rockwood Lake Reservoir,41.108,-73.624
15482,King Industries,41.1081,-73.4115
17226,12,41.108667,-73.253
17716,Holy Ghost Fathers Brook,41.110019,-73.456249
17715,Fivemile River,41.110664,-73.461894
18937,East Br. Mianus River,41.110999,-73.587656
18943,Rippowam River,41.111187,-73.554711
15942,Long Island Sound,41.1113,-73.3375
15941,Long Island Sound,41.1122,-73.3273
14431,Rippowam River,41.1134,-73.5471
18942,Springdale Brook,41.113739,-73.522881
17062,Springdale Brook,41.1144,-73.5205
15940,Long Island Sound,41.1149,-73.3223
15604,Indian River,41.1162,-73.3756
19074,Saugatuck Harbor 04,41.119067,-73.368517
14558,Norwalk River,41.1194,-73.417
17229,16,41.120333,-73.1625
15605,Indian River,41.1209,-73.3798
17230,18,41.122333,-73.09
16205,Norwalk River,41.1231,-73.425
18919,Mianus River,41.1234,-73.6088
15471,Sasco Brook,41.1249,-73.299
16729,Haviland Brook,41.125,-73.5692
18639,Betts Pond Brook,41.12589,-73.40719
15472,Sasco Brook Beach,41.1263,-73.2955
14371,Norwalk River,41.1267,-73.4295
18463,Fivemile River,41.12685,-73.47101
20142,LIS Trawl 07-19,41.12707,-72.96292
16025,Muddy Brook,41.1276,-73.3294
18477,FBY1,41.129,-73.285
16157,Bargh Reservoir,41.1301,-73.6128
18945,Noroton River,41.130653,-73.508094
14557,Norwalk River,41.1319,-73.4301
16000,Muddy Brook,41.1326,-73.3286
19075,Saugatuck Harbor 06,41.132683,-73.366383
18968,LIS Field Blank,41.133158,-72.898406
16001,"Muddy Brook, tributary to",41.1332,-73.3285
16622,East Branch Mianus River,41.1333,-73.5883
18138,Stony Brook,41.1334,-73.36832
15470,Drainage Ditch to Sasco Brook,41.1338,-73.2948
18775,Poorhouse Brook,41.134678,-73.551404
15458,Green Farms Storm Drain,41.1358,-73.2974
14361,Norwalk River,41.1359,-73.426
14556,Silvermine River,41.1361,-73.4346
16175,Silvermine River,41.1363,-73.4301
18389,Fivemile River,41.136499,-73.479299
14202,Five Mile River,41.1365,-73.4793
15459,Green Farms Storm Drain,41.1367,-73.2988
14654,Culvert to Norwalk River,41.1368,-73.4263
15473,Drainage Ditch to Sasco Brook,41.1369,-73.2919
15453,Stop and Shop storm drain,41.1371,-73.3002
15456,Woodhill/Green Farms Storm Drain,41.1371,-73.2974
15457,Sasco Brook,41.1371,-73.2969
15452,Sasco Brook,41.1373,-73.2972
17262,I2,41.1375,-72.655
15451,Sasco Brook,41.1379,-73.2976
15455,Route 1 storm drain,41.138,-73.2978
18478,TG1,41.138,-73.275
15454,Sasco Brook,41.1382,-73.2978
15297,Sasco Brook,41.1387,-73.298
19939,Grays Pond,41.139,-73.62286
18479,PRC1,41.14,-73.274
16406,Black Rock Harbor,41.14,-73.22
17235,23,41.140167,-72.948833
15450,"Sasco Brook, tributary to",41.1413,-73.2985
14201,Five Mile River,41.1418,-73.4833
18465,Stony Brook,41.141898,-73.37748
19929,Mianus Reservoir,41.143,-73.613
15460,"Sasco Brook, tributary to",41.1432,-73.2959
14808,Norwalk River,41.1433,-73.4269
16024,"Norwalk River, Unknown Pipe to",41.1434,-73.4269
14807,Norwalk River,41.1436,-73.4269
15396,Silvermine River,41.1452,-73.4419
15357,Sasco Brook,41.1457,-73.3012
16405,Black Rock Harbor,41.1458,-73.22
15461,"Sasco Brook, tributary to",41.146,-73.2936
18129,Sasco Brook,41.14675,-73.30325
15462,"Sasco Brook, tributary to",41.1468,-73.2938
15463,"Sasco Brook, tributary to",41.1468,-73.2931
18131,"Sasco Brook, Tributary to",41.14683,-73.30839
18133,"Sasco Brook, Tributary to",41.14689,-73.30336
18132,"Sasco Brook, Tributary to",41.147,-73.30864
18130,"Sasco Brook, Tributary to",41.14703,-73.30903
18128,Sasco Brook,41.14706,-73.30322
14203,Five Mile River,41.1478,-73.4835
15449,"Sasco Brook, tributary to",41.1479,-73.3073
15397,Silvermine River,41.1483,-73.443
16907,No Name,41.1494,-73.4808
16347,Saugatuck River,41.1495,-73.3661
16404,Black Rock Harbor,41.15,-73.2192
14452,Silvermine River,41.1503,-73.4434
18941,Rippowam River,41.150336,-73.534197
15285,Mill River,41.1504,-73.2726
15398,Silvermine River,41.1515,-73.446
15857,Mill River,41.1521,-73.2726
16456,Housatonic river at mouth,41.1523,-73.1024
16458,Housatonic River Lordship Point,41.1523,-73.1023
16457,Housatonic River Lordship Point,41.1526,-73.1023
14667,Sasco Brook,41.1528,-73.306
15468,Hulls Farm Road Storm Drain,41.1529,-73.3059
15399,Silvermine River,41.1533,-73.4484
16403,Black Rock Harbor,41.1547,-73.2167
15448,"Sasco Brook, tributary to",41.1555,-73.3112
17714,Fivemile River,41.155567,-73.493611
15400,Silvermine River,41.1567,-73.4498
16402,Black Rock Harbor,41.1575,-73.2125
17238,27,41.158667,-72.8495
15401,Silvermine River,41.1597,-73.4529
16287,Laurel Reservoir Outlet,41.1601,-73.5391
15358,Great Brook,41.1603,-73.3018
17713,"Fivemile River, Tributary to",41.160781,-73.494436
16407,Black Rock Harbor,41.1611,-73.21
16408,Black Rock Harbor,41.1611,-73.2078
15609,Poplar Plain Brook,41.1618,-73.3691
17736,Poplar Plains Brook,41.161972,-73.37508
15447,Sasco Brook,41.1621,-73.3121
15402,Silvermine River,41.1626,-73.4626
15368,Saugatuck River,41.1629,-73.3675
18136,Deadman Brook,41.16309,-73.33497
15828,Norwalk River,41.1636,-73.4197
14555,Norwalk River,41.1639,-73.4193
17233,21,41.164,-73.014833
16401,Black Rock Harbor,41.1642,-73.205
20635,Browns Brook,41.165218,-73.286969
15827,Mill River,41.1653,-73.2706
15671,Bridgeport Energy,41.1662,-73.1823
20144,LIS Trawl 9-26,41.16665,-72.6603
17712,Fivemile River,41.168302,-73.504984
15673,Pequonnock River,41.1688,-73.1849
14445,Saugatuck River,41.1693,-73.367
17711,"Fivemile River, Tributary to",41.169673,-73.503011
16663,Fivemile River,41.1697,-73.5078
15446,Great Brook,41.1697,-73.3014
19332,Laurel Reservoir,41.1701,-73.55
16346,Norwalk River,41.1703,-73.4172
15672,Bridgeport Energy,41.1709,-73.1709
15364,West Branch Saugatuck River,41.1718,-73.3643
20526,NNT to Belden Hill Brook,41.17227,-73.44266
14668,Sasco Brook,41.1731,-73.3123
14299,Mill River,41.1738,-73.2684
17710,Fivemile River,41.175226,-73.511883
15369,Saugatuck River,41.1756,-73.3619
15360,Rooster River,41.1762,-73.223
15375,Aspetuck River,41.1769,-73.3579
16848,Mill River,41.1778,-73.2639
15363,West Branch Saugatuck River,41.178,-73.3742
17259,H2,41.178,-72.9605
16849,Mill River,41.1781,-73.5542
16429,West Branch Saugatuck River,41.1782,-73.3801
18636,Poorhouse Brook,41.17827,-73.4898
15432,Sasco Brook,41.179,-73.3123
15826,Rooster River,41.1797,-73.2194
15465,"Great Brook, tributary to",41.1801,-73.3032
15466,"Great Brook, tributary to",41.1804,-73.3012
15445,Great Brook,41.1804,-73.3008
15443,"Sasco Brook, tributary to",41.1806,-73.3122
15467,"Sasco Brook, tributary to",41.1815,-73.3024
16345,"Sasco Brook, tributary to",41.1817,-73.3142
15296,"Sasco Brook, tributary to",41.1817,-73.3139
17263,J2,41.182,-72.457667
18893,Rooster River,41.182013,-73.218791
